"ef1";"personengruppe";"ef3";"ef4";"region";"ef9";"ef10";"ef15";"ef16u1";"ef16u2";"ef17";"ef18";"ef19";"ef20";"ef21";"ef22";"ef23";"ef24";"ef25";"ef26";"ef27";"ef28";"ef29";"ef38";"ef40";"ef41";"ef42";"ef43";"ef44";"ef45";"ef47";"ef50";"ef53";"b52"
1;101;1;4;1;3;2;71;8;2;1;20;86;0;1510;0;0;391;271;360;18920;800;"11";6319.15;18;60;"4";3;848;18920;800;51.43;0;7258.88
1;101;5;4;1;3;1;32;1;7;1;38;160;0;2989;0;0;443;612;360;41662;2882;"30";6319.15;3;53;"7";3;1934;41662;2882;51.43;0;7258.88
1;101;2;4;1;3;1;32;1;1;2;38;160;0;2799;0;0;327;521;180;17022;990;"15";6319.15;6;28;"7";2;1951;34044;1980;25.71;0;7258.88
1;101;3;4;1;3;1;32;1;2;1;38;160;0;3132;0;0;474;630;360;43518;3238;"30";6319.15;4;54;"7";3;2028;43518;3238;51.43;0;7258.88
1;101;4;4;1;3;1;32;1;2;1;38;160;0;3368;0;0;237;661;360;44958;3199;"30";6319.15;4;55;"7";3;2470;44958;3199;51.43;0;7258.88
2;109;4;1;1;;2;62;8;7;5;5;10;0;95;0;0;0;0;360;1278;0;"2";4857.12;3;34;"5";3;95;1278;0;51.43;2.3;5602.92
2;101;1;1;1;2;2;12;1;2;1;40;173;0;2197;0;0;207;420;360;26824;460;"25";4857.12;13;44;"6";3;1570;26824;460;51.43;0;5602.92
2;109;3;1;1;;2;12;8;2;5;5;21;0;450;0;0;0;0;360;5400;0;"3";4857.12;20;51;"7";3;450;5400;0;51.43;4.83;5602.92
2;101;2;1;1;4;2;12;1;7;1;40;173;0;1795;0;0;327;343;360;21840;300;"25";4857.12;2;45;"9";3;1125;21840;300;51.43;0;5602.92
3;101;2;11;1;4;1;12;1;7;1;40;168;0;1932;0;0;169;403;360;23413;350;"24";2687.7;4;40;"9";3;1360;23413;350;51.43;0;3010.54
3;101;5;11;1;3;1;52;1;2;1;40;174;0;2506;0;0;85;528;360;30965;700;"26";2687.7;1;55;"8";3;1893;30965;700;51.43;0;3010.54
3;101;1;11;1;4;1;12;1;1;1;40;168;0;2512;0;0;94;509;360;30298;700;"30";2687.7;6;55;"6";2;1909;30298;700;51.43;0;3010.54
3;101;6;11;1;4;1;52;1;1;1;40;173;0;2156;0;0;230;451;360;28156;700;"25";2687.7;1;25;"8";2;1475;28156;700;51.43;0;3010.54
3;101;3;11;1;4;1;12;1;7;1;40;174;0;3401;0;0;455;622;360;37836;700;"22";2687.7;2;32;"9";3;2324;37836;700;51.43;0;3010.54
3;101;7;11;1;3;1;12;1;4;1;40;174;0;2380;0;0;313;482;360;26053;350;"25";2687.7;1;22;"9";6;1585;26053;350;51.43;0;3010.54
3;101;4;11;1;3;1;12;1;4;1;40;174;0;2855;0;0;408;586;360;32570;700;"25";2687.7;2;34;"9";4;1861;32570;700;51.43;0;3010.54
4;101;6;11;1;3;1;51;1;1;1;38;163;0;2649;0;0;354;507;270;26524;150;"20";2526.59;1;36;"4";2;1788;35365;200;38.57;0;2777.3
4;101;7;11;1;3;1;25;1;2;1;38;163;6;3575;147;502;467;631;360;42418;350;"24";2526.59;1;35;"3";3;2477;42418;350;51.43;0;2777.3
4;101;4;11;1;3;1;25;1;2;1;38;163;0;3115;0;6;471;657;360;39100;350;"24";2526.59;2;27;"3";3;1987;39100;350;51.43;0;2777.3
4;101;2;11;1;3;1;27;1;2;1;38;165;7;3785;161;0;672;777;270;35635;400;"24";2526.59;3;34;"7";3;2336;47513;533;38.57;0;2777.3
4;101;11;11;1;3;1;25;1;2;1;38;162;5;2945;90;454;275;481;360;33451;300;"24";2526.59;1;26;"3";3;2189;33451;300;51.43;0;2777.3
4;101;13;11;1;3;1;25;1;2;1;40;174;0;1672;0;0;190;350;270;13526;150;"20";2526.59;0;37;"8";3;1132;18035;200;38.57;0;2777.3
4;101;10;11;1;3;1;24;1;2;1;38;163;0;3156;0;349;376;568;360;36918;300;"24";2526.59;1;24;"7";3;2212;36918;300;51.43;0;2777.3
4;101;9;11;1;3;1;27;8;4;1;21;91;0;822;0;0;125;169;240;6726;150;"8";2526.59;0;37;"7";4;528;10089;225;34.29;0;2777.3
4;101;5;11;1;4;1;24;1;1;1;38;163;0;2850;0;0;153;578;360;34665;350;"24";2526.59;1;31;"7";2;2119;34665;350;51.43;0;2777.3
4;101;12;11;1;3;1;25;1;2;1;38;157;0;2066;0;0;192;406;274;21392;150;"20";2526.59;0;21;"3";3;1468;28106;197;39.14;0;2777.3
4;101;8;11;1;3;1;25;1;2;1;40;168;5;2971;87;462;302;519;360;38051;150;"24";2526.59;1;24;"3";3;2150;38051;150;51.43;0;2777.3
4;101;1;11;1;4;1;24;1;1;1;38;169;3;3857;79;476;261;692;360;41008;300;"24";2526.59;15;37;"7";2;2904;41008;300;51.43;0;2777.3
4;101;3;11;1;5;1;24;1;1;1;38;174;17;2816;252;446;61;499;360;31186;300;"24";2526.59;1;33;"7";2;2256;31186;300;51.43;0;2777.3
5;101;1;2;1;3;1;25;1;2;1;38;167;0;3437;0;355;422;591;360;40351;1872;"28";6481.23;13;41;"3";3;2424;40351;1872;51.43;0;6720.35
5;102;7;2;1;;2;71;0;3;3;38;165;0;742;0;0;0;155;360;10078;839;"24";6481.23;1;22;"4";3;587;10078;839;51.43;0;6720.35
5;101;3;2;1;4;1;25;1;2;1;38;175;0;2303;0;85;247;455;360;26961;1033;"25";6481.23;2;26;"8";3;1601;26961;1033;51.43;0;6720.35
5;101;5;2;1;2;1;27;1;7;1;38;165;0;3326;0;96;490;668;360;43545;2496;"29";6481.23;19;47;"3";3;2168;43545;2496;51.43;0;6720.35
5;101;6;2;1;2;1;27;8;4;1;30;130;0;4115;0;0;774;845;360;51030;2610;"25";6481.23;5;59;"1";6;2496;51030;2610;51.43;0;6720.35
5;101;2;2;1;4;1;25;1;1;1;38;175;0;2177;0;63;220;429;360;26272;1651;"29";6481.23;1;46;"8";3;1528;26272;1651;51.43;0;6720.35
5;101;4;2;1;5;2;51;1;1;1;38;175;0;2162;0;80;215;426;360;26508;1946;"30";6481.23;3;59;"9";2;1521;26508;1946;51.43;0;6720.35
6;102;3;4;1;;1;32;0;7;3;41;172;0;908;0;0;0;184;360;13659;318;"30";7057.71;2;21;"7";2;724;13659;318;51.43;0;7347.34
6;101;2;4;1;4;1;32;1;2;1;41;172;0;2635;0;0;381;540;360;33483;930;"30";7057.71;5;26;"9";3;1714;33483;930;51.43;0;7347.34
6;101;4;4;1;3;1;32;1;7;1;41;172;0;3256;0;0;561;668;360;41057;999;"30";7057.71;1;35;"9";3;2027;41057;999;51.43;0;7347.34
6;101;1;4;1;3;2;71;8;2;1;20;84;0;781;0;0;0;150;360;9709;0;"10";7057.71;11;49;"4";3;631;9709;0;51.43;0;7347.34
7;101;2;6;1;3;1;51;1;2;1;40;172;0;3361;0;0;112;571;360;33873;718;"33";2325.42;10;49;"7";3;2678;33873;718;51.43;0;2437.85
7;140;1;6;1;3;1;52;1;2;1;40;172;50;4578;1289;722;874;1040;360;53894;700;"30";2325.42;29;61;"3";3;2664;53894;700;51.43;0;2437.85
7;120;6;6;1;2;1;51;8;2;2;25;109;0;1438;0;0;254;132;360;16807;74;"16";2325.42;2;66;"7";6;1052;16807;74;51.43;0;2437.85
7;101;3;6;1;3;1;51;1;2;1;40;172;50;3772;758;545;356;886;360;44490;700;"30";2325.42;17;33;"7";3;2530;44490;700;51.43;0;2437.85
7;101;10;6;1;3;2;71;1;2;1;40;172;0;3015;0;0;422;628;360;34496;2997;"30";2325.42;8;27;"4";3;1965;34496;2997;51.43;0;2437.85
7;101;7;6;1;3;1;27;1;2;2;40;172;0;3406;0;0;264;704;360;41041;681;"28";2325.42;2;51;"4";3;2438;41041;681;51.43;0;2437.85
7;140;11;6;1;3;1;25;1;2;1;40;172;34;3209;508;273;521;682;360;40896;700;"30";2325.42;1;24;"7";3;2006;40896;700;51.43;0;2437.85
7;101;8;6;1;3;2;71;1;2;1;40;172;0;3590;0;0;576;744;360;41509;3572;"33";2325.42;24;45;"4";3;2270;41509;3572;51.43;0;2437.85
7;101;4;6;1;1;1;71;1;6;1;40;172;0;4659;0;0;821;916;360;40351;0;"33";2325.42;10;50;"1";7;2922;40351;0;51.43;0;2437.85
7;101;5;6;1;2;1;52;1;4;1;40;172;0;6505;0;0;1832;1150;360;84000;;"30";2325.42;8;30;"3";6;3523;84000;;51.43;0;2437.85
7;102;9;6;1;;1;51;0;3;3;40;172;0;955;0;0;0;196;360;9245;1185;"25";2325.42;1;21;"4";3;759;13145;1685;51.43;0;2437.85
7;140;12;6;1;3;1;51;1;2;1;40;172;38;3689;579;418;606;782;360;44713;700;"30";2325.42;3;56;"7";3;2301;44713;700;51.43;0;2437.85
7;102;13;6;1;;1;52;0;1;3;40;172;0;1017;0;0;0;211;360;11485;504;"25";2325.42;1;22;"3";2;806;11485;504;51.43;0;2437.85
8;101;7;2;1;3;1;71;1;2;2;40;174;0;3195;0;0;525;678;360;42420;3195;"30";3211.17;6;29;"3";3;1992;42420;3195;51.43;0;3315.1
